timestamp,arbitration_id,extended,remote,error,dlc,data
0.727,0x10c,0,0,0,8,AQCAAAAAAAA=
0.788,0x12c,0,0,0,8,AggAAHAXAAA=
0.8,0x19f,0,0,0,8,AAAAAHgoAAA=
0.9,0x50f,0,0,0,8,eCgqAHUFXwA=
0.919,0x12d,0,0,0,8,AACIE+AuAQA=
0.999,0x1a7,0,0,0,8,AACcGAgARBY=
1.137,0x12a,0,0,0,8,EAAAAAACAAA=
1.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
1.6,0x310,0,0,0,8,AQACAAAAAAA=
1.7,0x50e,0,0,0,8,AAAAAAAAAAA=
1.727,0x10c,0,0,0,8,AQCAAAAAAAA=
1.786,0x12c,0,0,0,8,AggAAHAXAAA=
1.8,0x19f,0,0,0,8,AAAAAHkoAAA=
1.899,0x50f,0,0,0,8,eCgwAHUFXwA=
1.918,0x12d,0,0,0,8,AACIE+AuAQA=
2.0,0x1a7,0,0,0,8,AACcGAgARBY=
2.14,0x12a,0,0,0,8,EAAAAAACAAA=
2.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
2.6,0x310,0,0,0,8,AQACAAAAAAA=
2.699,0x50e,0,0,0,8,AAAAAAAAAAA=
2.726,0x10c,0,0,0,8,AQCAAAAAAAA=
2.786,0x12c,0,0,0,8,AggAAHAXAAA=
2.8,0x19f,0,0,0,8,AAAAAHgoAAA=
2.899,0x50f,0,0,0,8,eCgwAHQFXwA=
2.916,0x12d,0,0,0,8,AACIE+AuAQA=
2.999,0x1a7,0,0,0,8,AACcGAgARBY=
3.137,0x12a,0,0,0,8,EAAAAAACAAA=
3.176,0x10b,0,0,0,8,BQ8AAAAAAAA=
3.6,0x310,0,0,0,8,AQACAAAAAAA=
3.7,0x50e,0,0,0,8,AAAAAAAAAAA=
3.727,0x10c,0,0,0,8,AQCAAAAAAAA=
3.788,0x12c,0,0,0,8,AggAAHAXAAA=
3.799,0x19f,0,0,0,8,AAAAAHkoAAA=
3.899,0x50f,0,0,0,8,eCgwAHUFXwA=
3.925,0x12d,0,0,0,8,AACIE+AuAQA=
4.0,0x1a7,0,0,0,8,AACcGAgARBY=
4.138,0x12a,0,0,0,8,EAAAAAACAAA=
4.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
4.578,0x8192a3b,1,0,0,8,AAAAAAAAAAA=
4.6,0x310,0,0,0,8,AQACAAAAAAA=
4.7,0x50e,0,0,0,8,AAAAAAAAAAA=
4.729,0x10c,0,0,0,8,AQCAAAAAAAA=
4.787,0x12c,0,0,0,8,AggAAHAXAAA=
4.8,0x19f,0,0,0,8,AAAAAHgoAAA=
4.899,0x50f,0,0,0,8,eCgyAHYFXwA=
4.918,0x12d,0,0,0,8,AACIE+AuAQA=
5.0,0x1a7,0,0,0,8,AACcGAgARBY=
5.101,0x10000201,1,0,0,8,AwICAAAAAwA=
5.138,0x12a,0,0,0,8,EAAAAAACAAA=
5.179,0x10b,0,0,0,8,BQ8AAAAAAAA=
5.201,0x10000202,1,0,0,8,AAAAAAAAAAA=
5.3,0x10000203,1,0,0,8,rQADADgPeSg=
5.4,0x10000204,1,0,0,8,UijR/3QFXwA=
5.5,0x10000205,1,0,0,8,AQBkZGRkAAA=
5.503,0x10000206,1,0,0,8,AABEFpwY7BM=
5.506,0x10000207,1,0,0,8,AAAAAAURAAA=
5.509,0x10000208,1,0,0,8,AAAAAAAAAAA=
5.6,0x310,0,0,0,8,AQACAAAAAAA=
5.7,0x50e,0,0,0,8,AAAAAAAAAAA=
5.727,0x10c,0,0,0,8,AQCAAAAAAAA=
5.788,0x12c,0,0,0,8,AggAAHAXAAA=
5.8,0x19f,0,0,0,8,AAAAAHkoAAA=
5.9,0x50f,0,0,0,8,eSgvAHQFXwA=
5.92,0x12d,0,0,0,8,AACIE+AuAQA=
5.999,0x1a7,0,0,0,8,AACcGAgARBY=
6.139,0x12a,0,0,0,8,EAAAAAACAAA=
6.176,0x10b,0,0,0,8,BQ8AAAAAAAA=
6.6,0x310,0,0,0,8,AQACAAAAAAA=
6.7,0x50e,0,0,0,8,AAAAAAAAAAA=
6.729,0x10c,0,0,0,8,AQCAAAAAAAA=
6.786,0x12c,0,0,0,8,AggAAHAXAAA=
6.8,0x19f,0,0,0,8,AAAAAHkoAAA=
6.9,0x50f,0,0,0,8,eCgsAHQFXwA=
6.918,0x12d,0,0,0,8,AACIE+AuAQA=
7.0,0x1a7,0,0,0,8,AACcGAgARBY=
7.138,0x12a,0,0,0,8,EAAAAAACAAA=
7.179,0x10b,0,0,0,8,BQ8AAAAAAAA=
7.6,0x310,0,0,0,8,AQACAAAAAAA=
7.7,0x50e,0,0,0,8,AAAAAAAAAAA=
7.727,0x10c,0,0,0,8,AQCAAAAAAAA=
7.785,0x12c,0,0,0,8,AggAAHAXAAA=
7.799,0x19f,0,0,0,8,AAAAAHgoAAA=
7.899,0x50f,0,0,0,8,eSgwAHUFXwA=
7.918,0x12d,0,0,0,8,AACIE+AuAQA=
-1.0,0x1a7,0,0,0,8,AACcGAgARBY=
-0.865,0x12a,0,0,0,8,EAAAAAACAAA=
-0.824,0x10b,0,0,0,8,BQ8AAAAAAAA=
-0.401,0x310,0,0,0,8,AQACAAAAAAA=
-0.301,0x50e,0,0,0,8,AAAAAAAAAAA=
-0.271,0x10c,0,0,0,8,AQCAAAAAAAA=
-0.213,0x12c,0,0,0,8,AggAAHAXAAA=
-0.2,0x19f,0,0,0,8,AAAAAHkoAAA=
-0.1,0x50f,0,0,0,8,eSgwAHcFXwA=
-0.083,0x12d,0,0,0,8,AACIE+AuAQA=
-0.001,0x1a7,0,0,0,8,AACcGAgARBY=
0.137,0x12a,0,0,0,8,EAAAAAACAAA=
0.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
0.599,0x310,0,0,0,8,AQACAAAAAAA=
0.7,0x50e,0,0,0,8,AAAAAAAAAAA=
0.729,0x10c,0,0,0,8,AQCAAAAAAAA=
0.787,0x12c,0,0,0,8,AggAAHAXAAA=
0.8,0x19f,0,0,0,8,AAAAAHkoAAA=
0.9,0x50f,0,0,0,8,eCgqAHUFXwA=
0.919,0x12d,0,0,0,8,AACIE+AuAQA=
1.0,0x1a7,0,0,0,8,AACcGAgARBY=
1.139,0x12a,0,0,0,8,EAAAAAACAAA=
1.178,0x10b,0,0,0,8,BQ8AAAAAAAA=
1.6,0x310,0,0,0,8,AQACAAAAAAA=
1.699,0x50e,0,0,0,8,AAAAAAAAAAA=
1.729,0x10c,0,0,0,8,AQCAAAAAAAA=
1.788,0x12c,0,0,0,8,AggAAHAXAAA=
1.8,0x19f,0,0,0,8,AAAAAHgoAAA=
1.899,0x50f,0,0,0,8,eSgyAHYFXwA=
1.917,0x12d,0,0,0,8,AACIE+AuAQA=
2.0,0x1a7,0,0,0,8,AACcGAgARBY=
2.136,0x12a,0,0,0,8,EAAAAAACAAA=
